"allergen_code","allergy_category_code","id","allergen_fsn","allergy_category_fsn","preferred_term_en","preferred_term_pt","synonym_1","synonym_2"
"430503006","115668003","255","Glutamate (substance)","Biological substance (substance)","Glutamate ","Glutamato"," "," "
"89811004","762766007","256","Gluten (substance)","Edible substance (substance)","Gluten","Glúten"," "," "
"256355007","762766007","257","Glycine max (substance)","Edible substance (substance)","Glycine max","Glycine max","Soja","Feijão de soja"
"1259872001","115668003","258","Glycine max dust (substance)","Biological substance (substance)","Glycine max dust","Pó de Glycine max","Pó de soja","Pó de feijão de soja"
"256413004","115668003","259","Goat epithelium (substance)","Biological substance (substance)","Goat epithelium","Epitélio de cabra"," "," "
"83595008","762766007","260","Goat's milk (substance)","Edible substance (substance)","Goat's milk","Leite de cabra"," "," "
"226852002","762766007","261","Goats milk soft cheese (substance)","Edible substance (substance)","Goats milk soft cheese","Queijo macio de leite de cabra"," "," "
"2309006","37877001","262","Gold (substance)","Environmental agent (qualifier value)","Gold ","Ouro"," "," "
"710907000","115668003","263","Goldenrod pollen (substance)","Biological substance (substance)","Goldenrod pollen","Pólen de solidago"," "," "
"256414005","115668003","264","Goose feathers (substance)","Biological substance (substance)","Goose feathers","Penas de ganso"," "," "
"264331002","762766007","265","Grain (substance)","Edible substance (substance)","Grain","Grão"," "," "
"256315005","762766007","266","Grapefruit (substance)","Edible substance (substance)","Grapefruit","Toranja"," "," "
"256317002","762766007","267","Grapes (substance)","Edible substance (substance)","Grapes","Uvas"," "," "
"256277009","115668003","268","Grass pollen (substance)","Biological substance (substance)","Grass pollen ","Pólen de gramíneas"," "," "
"256318007","762766007","269","Green bean (substance)","Edible substance (substance)","Green bean","Feijão verde"," "," "
"1258894003","115668003","270","Green coffee bean (substance)","Biological substance (substance)","Green coffee bean","Grão de café verde"," "," "
"412194001","762766007","271","Green tea (substance)","Edible substance (substance)","Green tea","Chá verde "," "," "
"710722000","115668003","272","Grey alder pollen (substance)","Biological substance (substance)","Grey alder pollen","Pólen de amieiro cinzento"," "," "
"395734009","115668003","273","Guar gum (substance)","Biological substance (substance)","Guar gum","Goma de guar"," "," "
"256415006","115668003","274","Guinea-pig epithelium (substance)","Biological substance (substance)","Guinea-pig epithelium","Epitélio de porquinho da índia"," "," "
"8687009","115668003","275","Gum arabic (substance)","Biological substance (substance)","Gum arabic","Goma arábica"," "," "
"735033004","762766007","276","Haddock (substance)","Edible substance (substance)","Haddock","Hadoque","Aglefim","Arinca"
"412145001","37877001","277","Hair dye (substance)","Environmental agent (qualifier value)","Hair dye ","Tinta para o cabelo","Tinta para coloração de cabelo"," "
"227066004","762766007","278","Hake (substance)","Edible substance (substance)","Hake","Hake","Pescada"," "
"227067008","762766007","279","Halibut (substance)","Edible substance (substance)","Halibut","Linguado"," "," "
"260164001","115668003","280","Hamster epithelium (substance)","Biological substance (substance)","Hamster epithelium","Epitélio de hamster"," "," "
"255703002","115668003","281","Hay dust (substance)","Biological substance (substance)","Hay dust","Pó de feno"," "," "
"256263006","115668003","282","Hazel pollen (substance)","Biological substance (substance)","Hazel pollen","Pólen de aveleira","Pólen de avelãzeira"," "
"256353000","762766007","283","Hazelnut (substance)","Edible substance (substance)","Hazelnut","Avelã"," "," "
"37017009","0","284","Helminth (navigational concept)"," ","Helminth","Helmintas","Helmintas"," "
"711322006","115668003","285","Helminth protein (substance)","Biological substance (substance)","Helminth protein","Proteína de helmintas","Helmintas"," "
"227374009","762766007","286","Herbs and spices (substance)","Edible substance (substance)","Herbs and spices","Ervas e especiarias","Ervas aromáticas e especiarias"," "
"735035006","762766007","287","Herring (substance)","Edible substance (substance)","Herring","Arenque"," "," "
"255769001","37877001","288","Hexahydrophthalic anhydride (substance)","Environmental agent (qualifier value)","Hexahydrophthalic anhydride","Anidrido hexa-hidroftálico"," "," "
"1258893009","762766007","289","Hibiscus tea (substance)","Edible substance (substance)","Hibiscus tea","Chá de hibisco"," "," "
"227598003","762766007","290","Honey (substance)","Edible substance (substance)","Honey","Mel"," "," "
"256439001","115668003","291","Honey bee venom (substance)","Biological substance (substance)","Honey bee venom","Veneno de abelha do mel","Veneno de abelha europeia","Veneno de abelha-melífera"
"710172008","762766007","292","Hop (substance)","Edible substance (substance)","Hop","Lúpulo"," "," "
"710723005","115668003","293","Horn beam pollen (substance)","Biological substance (substance)","Horn beam pollen","Pólen de carpino comum","Pólen de carpino europeu"," "
"710171001","762766007","294","Horse - meat (substance)","Edible substance (substance)","Horse - meat","Carne de cavalo"," "," "
"710721007","115668003","295","Horse chestnut pollen (substance)","Biological substance (substance)","Horse chestnut pollen","Pólen de castanheiro-da-Índia"," "," "
"256417003","115668003","296","Horse dander (substance)","Biological substance (substance)","Horse dander","Partícula de pele de cavalo","Pelo de cavalo","Caspa de cavalo"
"256418008","115668003","297","Horse epithelium (substance)","Biological substance (substance)","Horse epithelium","Epitélio de cavalo"," "," "
"128488006","37877001","298","House dust (substance)","Environmental agent (qualifier value)","House dust","Pó da casa","Pó doméstico"," "
"406466009","0","299","House dust allergen (substance)"," ","House dust allergen","Pó da casa - Alergénio","Pó da casa "," "
"96367001","115668003","300","Human insulin (substance)","Biological substance (substance)","Human insulin","Insulina humana"," "," "
"406470001","0","301","Insect allergen (substance)"," ","Insect allergen","Insetos - Alergénio","Insetos "," "
"412150007","115668003","302","Insect debris (substance)","Biological substance (substance)","Insect debris","Excremento de inseto"," "," "
"736258006","115668003","303","Insect salivary substance (substance)","Biological substance (substance)","Insect salivary substance","Substância salivar de insetos"," "," "
"280939008","115668003","304","Insect venom (substance)","Biological substance (substance)","Insect venom","Veneno de inseto"," "," "
"3829006","37877001","305","Iron (substance)","Environmental agent (qualifier value)","Iron ","Ferro"," "," "
"260136006","115668003","306","Italian cypress pollen (substance)","Biological substance (substance)","Italian cypress pollen","Pólen de cipreste-italiano"," "," "
"227247005","762766007","307","Jackfruit (substance)","Edible substance (substance)","Jackfruit","Jaca"," "," "
"260130000","115668003","308","Japanese cedar pollen (substance)","Biological substance (substance)","Japanese cedar pollen","Pólen de cedro japonês"," "," "
"260119003","115668003","309","Japanese hop pollen (substance)","Biological substance (substance)","Japanese hop pollen","Pólen de lúpulo japonês"," "," "
"260095006","115668003","310","Johnson grass pollen (substance)","Biological substance (substance)","Johnson grass pollen","Pólen de Sorghum halepense","Pólen de Johnson grass"," "
"1268862005","115668003","311","Juglans californica pollen (substance)","Biological substance (substance)","Juglans californica pollen","Pólen de Juglans californica","Pólen de nogueira da califórnia"," "
